Feature,Normalized.Dispersion
ENSG00000116922,-0.5498492038524913
ENSG00000134690,-1.4402222148512156
ENSG00000183317,NaN
ENSG00000185090,1.2953776629270946
ENSG00000196449,-1.0882624192588188
ENSG00000197982,-1.4818374006167145
ENSG00000188786,-0.5342464976824796
ENSG00000230955,NaN
ENSG00000204084,1.1059929673645517
ENSG00000183431,-1.5400450787016768
ENSG00000183386,-0.10600270543294342
ENSG00000183520,-1.522173518899827
ENSG00000185668,5.714697302375586
ENSG00000224592,NaN
ENSG00000238063,5.129523429493728
ENSG00000284632,2.592194463504079
ENSG00000116954,-1.1910220413764967
ENSG00000228436,4.009525895951049
ENSG00000214114,-1.5183456429221522
ENSG00000131233,NaN
ENSG00000158315,2.9137389279650447
ENSG00000174574,-1.1824786730816106
ENSG00000168653,-0.9589740107597913
ENSG00000127603,0.1697246901058989
ENSG00000287422,0.17211144697645572
ENSG00000226438,0.05001833819970726
ENSG00000183682,-0.7123916041631633
ENSG00000291129,0.40613089290169035
ENSG00000090621,-1.030878122937896
ENSG00000228060,-0.42669679251538273
ENSG00000163909,NaN
ENSG00000116981,-0.6418032655524467
ENSG00000116983,0.23765331938196227
ENSG00000084072,0.28231189777960486
ENSG00000116985,-2.336063236892365
ENSG00000198754,-3.109737305401376
ENSG00000261798,NaN
ENSG00000284719,-1.2778966463972345
ENSG00000284678,-1.3598339839273699
ENSG00000043514,-0.3800351370555351
ENSG00000116990,-1.5071478362528399
ENSG00000236546,NaN
ENSG00000168389,-1.3573803665482156
ENSG00000131236,-0.6505317970694972
ENSG00000131238,1.548213647393166
ENSG00000117000,-0.3826402348748249
ENSG00000188800,-1.708106813380822
ENSG00000259943,0.7468163379792021
ENSG00000084073,-0.33035609399954663
ENSG00000049089,-1.5771519721747596
ENSG00000084070,-0.41421349663953844
ENSG00000290111,-1.4875202800105276
ENSG00000284677,NaN
ENSG00000187801,-0.5975216245565196
ENSG00000260920,0.7268205454163077
ENSG00000187815,-0.9234898241436509
ENSG00000238287,0.95726560761211
ENSG00000164002,-1.2283930002435044
ENSG00000117010,-0.5705530406646871
ENSG00000286838,NaN
ENSG00000117016,-2.1768307115500805
ENSG00000237899,0.3913569548858863
ENSG00000272145,-0.8532474233215065
ENSG00000066136,0.7389336325673165
ENSG00000117013,-0.040508042304729305
ENSG00000179862,-0.5765199065004201
ENSG00000171793,-0.5310288675559843
ENSG00000281207,0.8062661958200978
ENSG00000171790,-0.422971736061131
ENSG00000010803,3.568998410815397
ENSG00000235358,NaN
ENSG00000291157,3.4763778731830923
ENSG00000204060,NaN
ENSG00000127124,4.685426632744392
ENSG00000230881,NaN
ENSG00000287587,NaN
ENSG00000198815,0.31832499462675257
ENSG00000177181,NaN
ENSG00000066185,2.8500111695025656
ENSG00000127125,-1.9463745411439197
ENSG00000186409,3.442556533861831
ENSG00000171960,-0.21476663888267405
ENSG00000285728,-0.11294865636940396
ENSG00000234917,NaN
ENSG00000065978,-1.268141415336332
ENSG00000117385,-0.36172224407655035
ENSG00000164008,-0.31725368049032726
ENSG00000274386,-0.3479200343359989
ENSG00000177868,-0.78732050813698
ENSG00000164010,-0.1126455471085549
ENSG00000228192,0.5665702847730367
ENSG00000164011,-1.1723679652778323
ENSG00000288955,0.7489705608190236
ENSG00000117394,2.4895038005078365
ENSG00000227533,6.08461683461999
ENSG00000117395,-1.9551039239290406
ENSG00000243710,0.0693806961853163
ENSG00000179178,NaN
ENSG00000066056,-0.25867821873223945
ENSG00000117400,59.90811319827374
ENSG00000287113,NaN
ENSG00000234694,-0.9403856385350879
ENSG00000117399,1.2533538219071598
ENSG00000066322,-1.3015109551228081
ENSG00000288772,-0.09329466020653873
ENSG00000159479,-1.6091414179488837
ENSG00000198198,0.21829463841879163
ENSG00000178922,15.209447058499233
ENSG00000229348,-1.9739492103195535
ENSG00000142949,-0.5364473234627075
ENSG00000066135,-0.6580734697458166
ENSG00000236200,0.009919196870147534
ENSG00000126091,1.8498743349435824
ENSG00000229444,-0.029111425581587358
ENSG00000237950,NaN
ENSG00000288573,0.20304641948288474
ENSG00000117408,-0.4165552727860508
ENSG00000285649,NaN
